,Offense,,,,,Defense,,,,,,,,
Team,OPts/G,OTotPts,OYds/G,OYds/P,O3rdDownPct,DPts/G,DTotPts,DYds/G,DYds/P,DSacks,WinsHome,WinsRoad,TotWins,SuperBowl
49ers,19.3,309,308,4.9,35,30,480,406,5.9,33,1,1,2,0
Bears,17.4,279,356,5.9,38,24.9,399,347,5.5,37,3,0,3,0
Bengals,20.3,325,356,5.4,39,19.7,315,351,5.4,33,4,2,6,0
Bills,24.9,399,354,5.6,41,23.6,378,357,5.6,39,4,3,7,0
Broncos,20.8,333,323,5.1,34,18.6,297,316,4.7,42,5,4,9,0
Browns,16.5,264,311,5.1,36,28.2,452,392,5.9,26,1,0,1,0
Buccaneers,22.1,354,346,5.2,44,23.1,369,368,5.8,38,4,5,9,0
Cardinals,26.1,418,366,5.4,41,22.6,362,305,4.8,48,4,3,7,0
Chargers,25.6,410,356,5.6,42,26.4,423,347,5.4,35,3,2,5,0
Chiefs,24.3,389,343,5.5,38,19.4,311,369,5.5,28,6,6,12,0
Colts,25.7,411,364,5.6,43,24.5,392,383,6.0,33,4,4,8,0
Cowboys,26.3,421,376,6.0,42,19.1,306,344,5.5,36,7,6,13,0
Dolphins,22.7,363,332,5.8,37,23.8,380,383,5.6,33,6,4,10,0
Eagles,22.9,367,337,5.0,38,20.7,331,343,5.6,34,6,1,7,0
Falcons,33.8,540,415,6.7,42,25.4,406,371,5.6,34,5,6,11,1
Giants,19.4,310,330,5.2,36,17.8,284,340,5.1,35,7,4,11,0
Jaguars,19.9,318,334,5.1,35,25,400,322,5.0,33,2,1,3,0
Jets,17.2,275,329,5.2,36,25.6,409,342,5.6,27,2,3,5,0
Lions,21.6,346,338,5.5,43,22.4,358,355,5.9,26,6,3,9,0
Packers,27,432,368,5.7,47,24.2,388,364,5.9,40,6,2,8,0
Panthers,23.1,369,343,5.2,37,25.1,402,360,5.6,47,4,2,6,0
Patriots,27.6,441,386,5.9,46,15.6,250,326,5.2,34,6,8,14,1
Raiders,26,416,373,5.7,38,24.1,385,375,6.1,25,6,6,12,0
Rams,14,224,262,4.4,32,24.6,394,337,5.2,31,1,3,4,0
Ravens,21.4,343,347,5.2,37,20.1,321,322,5.2,31,6,2,8,0
Redskins,24.8,396,403,6.4,45,23.9,383,378,5.8,38,4,4,8,0
Saints,29.3,469,426,6.2,49,28.4,454,375,6.0,30,4,3,7,0
Seahwaks,22.1,354,357,5.6,38,18.2,292,319,5.0,42,7,3,10,0
Steelers,24.9,399,372,5.8,41,20.4,327,343,5.5,38,6,5,11,0
Texans,17.4,279,314,4.7,37,20.5,328,301,5.1,31,7,2,9,0
Titans,23.8,381,358,5.7,46,23.6,378,358,5.5,40,5,4,9,0
Vikings,20.4,327,315,5.0,38,19.2,307,315,5.1,41,5,3,8,0
