,Offense,,,,,Defense,,,,,,,,
Team,OPts/G,OYds/G,OYds/P,Fum,O3rdDownPct,DPts/G,DYds/G,DYds/P,Fum,DSacks,WinsHome,WinsRoad,TotWins,SuperBowl
49ers,19.3,308,4.9,29,35,30,406,5.9,25,33,1,1,2,0
Bears,17.4,356,5.9,26,38,24.9,347,5.5,13,37,3,0,3,0
Bengals,20.3,356,5.4,20,39,19.7,351,5.4,12,33,4,2,6,0
Bills,24.9,354,5.6,15,41,23.6,357,5.6,23,39,4,3,7,0
Broncos,20.8,323,5.1,24,34,18.6,316,4.7,23,42,5,4,9,0
Browns,16.5,311,5.1,26,36,28.2,392,5.9,12,26,1,0,1,0
Buccaneers,22.1,346,5.2,19,44,23.1,368,5.8,21,38,4,5,9,0
Cardinals,26.1,366,5.4,27,41,22.6,305,4.8,30,48,4,3,7,0
Chargers,25.6,356,5.6,22,42,26.4,347,5.4,18,35,3,2,5,0
Chiefs,24.3,343,5.5,18,38,19.4,369,5.5,27,28,6,6,12,0
Colts,25.7,364,5.6,16,43,24.5,383,6.0,18,33,4,4,8,0
Cowboys,26.3,376,6.0,22,42,19.1,344,5.5,28,36,7,6,13,0
Dolphins,22.7,332,5.8,26,37,23.8,383,5.6,24,33,6,4,10,0
Eagles,22.9,337,5.0,24,38,20.7,343,5.6,24,34,6,1,7,0
Falcons,33.8,415,6.7,8,42,25.4,371,5.6,21,34,5,6,11,1
Giants,19.4,330,5.2,22,36,17.8,340,5.1,21,35,7,4,11,0
Jaguars,19.9,334,5.1,23,35,25,322,5.0,18,33,2,1,3,0
Jets,17.2,329,5.2,24,36,25.6,342,5.6,22,27,2,3,5,0
Lions,21.6,338,5.5,9,43,22.4,355,5.9,12,26,6,3,9,0
Packers,27,368,5.7,21,47,24.2,364,5.9,13,40,6,2,8,0
Panthers,23.1,343,5.2,13,37,25.1,360,5.6,20,47,4,2,6,0
Patriots,27.6,386,5.9,27,46,15.6,326,5.2,26,34,6,8,14,1
Raiders,26,373,5.7,17,38,24.1,375,6.1,27,25,6,6,12,0
Rams,14,262,4.4,24,32,24.6,337,5.2,19,31,1,3,4,0
Ravens,21.4,347,5.2,19,37,20.1,322,5.2,26,31,6,2,8,0
Redskins,24.8,403,6.4,19,45,23.9,378,5.8,22,38,4,4,8,0
Saints,29.3,426,6.2,17,49,28.4,375,6.0,17,30,4,3,7,0
Seahwaks,22.1,357,5.6,22,38,18.2,319,5.0,19,42,7,3,10,0
Steelers,24.9,372,5.8,16,41,20.4,343,5.5,21,38,6,5,11,0
Texans,17.4,314,4.7,20,37,20.5,301,5.1,15,31,7,2,9,0
Titans,23.8,358,5.7,17,46,23.6,358,5.5,12,40,5,4,9,0
Vikings,20.4,315,5.0,20,38,19.2,315,5.1,23,41,5,3,8,0
